name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_alps,hospital_confidence_pct,hospital_error,hospital_in_city,hospital_reasoning
Bad Vöslau,AT,47.96533,16.21359,7469,260.0,853.0,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Gemona,IT,46.27405,13.12237,11141,186.0,610.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.57 km)
Arzl,AT,47.28333,11.43333,11082,632.0,2073.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.07 km)
Gemona del Friuli / Glemone,IT,46.2770072,13.1401049,10964,269.0,882.5,opentopo,0.9,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.67 km)
Gardone Val Trompia,IT,45.69137,10.18635,10113,322.0,1056.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.67 km)
Prien am Chiemsee,AT,47.85602,12.34623,10872,525.0,1722.4,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.51 km)
Nave,IT,45.5848,10.27947,10848,219.0,718.5,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Sankt Veit an der Glan,AT,46.76806,14.36028,10841,486.0,1594.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.54 km)
Grezzana,IT,45.5185311,11.0161587,10772,176.0,577.4,opentopo,0.9,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.99 km)
Laives,IT,46.42679,11.33841,10710,254.0,833.3,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Villa Carcina,IT,45.63329,10.19556,10695,239.0,784.1,opentopo,0.9,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Chamonix,FR,45.92375,6.86933,10614,1044.0,3425.2,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 1.21 km)
Salò,IT,45.60685,10.5205,10576,80.0,262.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.24 km)
Sankt Johann im Pongau,DE,47.3475782,13.2026049,10566,598.0,1961.9,opentopo,0.9,osm,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Imst,AT,47.24504,10.73974,10504,821.0,2693.6,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Avigliana,IT,45.07978,7.39647,9099,399.0,1309.1,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.73 km)
Morbegno,IT,46.1372,9.57415,10472,244.0,800.5,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.39 km)
Tolmezzo / Tumieç,IT,46.4053676,13.0158357,10440,323.0,1059.7,opentopo,0.9,osm,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.75 km)
Feldkirchen-Westerham,AT,47.90748,11.84266,10399,552.0,1811.0,open_elevation,0.85,geonames,0.0,80,,no,No OSM hospital within 3.0 km of centroid
Maniago,IT,46.16644,12.70602,10395,286.0,938.3,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.87 km)
Valdobbiadene,IT,45.89689,11.98245,6307,225.0,738.2,opentopo,0.9,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 0.35 km)
Lauterach,AT,47.47572,9.72941,10267,411.0,1348.4,open_elevation,0.85,geonames,0.0,95,,yes,OSM hospital within 3.0 km of centroid (nearest 2.68 km)
